title,description,labels,difficulty
Define LogLevel Enum,"**Description**
Implement a standard `LogLevel` enum in the `loglite-core` module representing severities for logging events.

**Acceptance Criteria**
- Enums created: `TRACE`, `DEBUG`, `INFO`, `WARN`, `ERROR`, `FATAL`.
- Each enum has an associated integer value (e.g., TRACE=100, DEBUG=200, INFO=300, WARN=400, ERROR=500, FATAL=600) for numeric comparisons.
- Implement a method `boolean isEnabled(LogLevel configuredLevel)` that compares current severity to active severity.","core, good-first-issue, feature",Easy
Create LogEvent Record,"**Description**
Create a Java `record` named `LogEvent` to model structured log details immutable across downstream threads.

**Acceptance Criteria**
- Fields included: `Instant timestamp`, `String loggerName`, `LogLevel level`, `String message`, `String threadName`, `Throwable throwable`, `Map<String, String> mdc`.
- Record must have builder support or standard constructor initialization.
- Immutable with proper defensive copy of metadata map.","core, feature",Easy
Implement Core Logger Interface & Standard Logger,"**Description**
Create a base `Logger` interface outlining logging capability, alongside its standard implementation `LogliteLogger`.

**Acceptance Criteria**
- Interface exposes logging methods: `trace(msg)`, `debug(msg)`, `info(msg)`, `warn(msg)`, `error(msg)`, `fatal(msg)`.
- Support parameterized messages with brackets (e.g. `logger.info(""Hello {}"", name)`).
- Implementation delegates event building to context handlers.","core, feature",Easy
Create Basic ConsoleAppender,"**Description**
Create a basic `ConsoleAppender` responsible for writing formatted logs to standard outputs.

**Acceptance Criteria**
- Logs of level `WARN` and below are printed to `System.out`.
- Logs of level `ERROR` and `FATAL` are printed to `System.err`.
- Appender accepts a formatter layout class.","core, good-first-issue, feature",Easy
Implement TextFormatter Layout,"**Description**
Write a `TextFormatter` implementing a default layout to output log events in text format.

**Acceptance Criteria**
- Formats as: `[YYYY-MM-DD HH:mm:ss.SSS] [LEVEL] [Thread] LoggerName - Message`.
- Properly formats empty logger names or exceptions if present.","core, feature",Easy
Implement JsonFormatter using Jackson,"**Description**
Create a `JsonFormatter` which formats `LogEvent` fields into a structured JSON string.

**Acceptance Criteria**
- Uses `Jackson` data-binding library.
- Serializes timestamp to ISO-8601 string, log level, thread name, logger name, message, and MDC object.
- Ignores null values in serialization to keep log lines compact.","core, feature",Easy
Create Custom PatternFormatter,"**Description**
Write a parser-based `PatternFormatter` using format strings (e.g. `%d [%t] %p %c - %m%n`).

**Acceptance Criteria**
- `%d` formats date-time.
- `%t` formats thread name.
- `%p` formats level.
- `%c` formats logger category name.
- `%m` formats message.
- `%n` outputs system line separator.","core, feature",Medium
Create ThreadLocal-based MDC (Mapped Diagnostic Context),"**Description**
Implement a static `MDC` wrapper utilizing `ThreadLocal` storage for thread-bound metadata tracking.

**Acceptance Criteria**
- Exposes `put(String key, String value)`, `get(String key)`, `remove(String key)`, and `clear()`.
- Uses `ThreadLocal<Map<String, String>>` initialized lazily.
- Thread-safe copy-on-write maps are stored to prevent concurrent access issues.","core, good-first-issue, feature",Easy
Create LogFilter Interface and ThresholdFilter,"**Description**
Define a `LogFilter` interface enabling custom logging interception, and implement a `ThresholdFilter`.

**Acceptance Criteria**
- Interface exposes method: `boolean filter(LogEvent event)`.
- `ThresholdFilter` discards any events whose severity falls below a specified minimum level configuration.","core, feature",Easy
Implement LoggerContext & LogManager Singleton,"**Description**
Build a static `LogManager` management class keeping track of loggers created throughout runtime context.

**Acceptance Criteria**
- Maintains `ConcurrentHashMap` of registered loggers by name.
- Exposes `getLogger(String name)` and dynamic appender injection during runtime.","core, feature",Easy
